3,1,2,4,4,2,1,3,3,3,3,4,3,4,4,4,4,2.666666667,3,3.5,4,16,9,7,16
2,1,2,4,4,4,3,1,4,4,4,4,4,4,4,4,4,3,4,4,4,18,12,8,16
3,2,4,4,3,3,3,4,4,2,2,3,4,4,4,4,2,3.5,2.666666667,3.5,3.5,21,8,7,14
3,2,4,4,4,3,3,4,3,2,3,4,2,1,4,4,1,3.666666667,2.666666667,3,2.5,22,8,6,10
3,2,2,3,3,3,3,3,3,3,3,3,4,3,3,4,1,2.833333333,3,3.5,2.75,17,9,7,11
2,1,3,4,3,3,3,2,4,4,4,4,4,2,3,4,2,3,4,4,2.75,18,12,8,11
3,3,1,4,4,3,3,4,1,3,4,4,4,1,4,3,1,3.166666667,2.666666667,4,2.25,19,8,8,9
5,4,4,2,3,2,2,4,4,4,3,4,3,1,4,2,4,2.833333333,3.666666667,3.5,2.75,17,11,7,11
4,3,4,3,2,2,2,4,3,3,2,2,3,1,4,4,1,2.833333333,2.666666667,2.5,2.5,17,8,5,10
4,3,1,4,4,3,3,1,4,4,3,4,2,1,3,4,2,2.666666667,3.666666667,3,2.5,16,11,6,10
4,3,4,3,3,3,2,3,4,3,2,3,2,2,4,4,2,3,3,2.5,3,18,9,5,12
7,5,4,2,4,4,4,4,1,2,3,4,4,1,4,4,1,3.666666667,2,4,2.5,22,6,8,10
7,5,4,4,3,3,3,4,4,4,4,4,4,3,4,4,4,3.5,4,4,3.75,21,12,8,15
4,2,4,4,2,2,2,4,4,3,4,4,4,1,4,4,2,3,3.666666667,4,2.75,18,11,8,11
6,5,4,3,3,3,3,4,4,3,2,4,3,2,4,4,4,3.333333333,3,3.5,3.5,20,9,7,14
3,2,4,4,4,3,3,4,3,4,3,4,4,3,4,4,3,3.666666667,3.333333333,4,3.5,22,10,8,14
3,2,4,3,3,2,2,3,3,3,3,3,3,2,3,3,3,2.833333333,3,3,2.75,17,9,6,11
6,5,4,3,3,3,3,4,4,4,4,3,4,1,4,4,2,3.333333333,4,3.5,2.75,20,12,7,11
3,2,4,4,2,3,3,4,2,2,2,2,3,4,4,4,4,3.333333333,2,2.5,4,20,6,5,16
3,1,4,4,3,3,3,3,2,2,2,3,2,3,4,4,2,3.333333333,2,2.5,3.25,20,6,5,13
3,1,4,3,2,2,2,3,4,2,4,4,4,2,4,4,2,2.666666667,3.333333333,4,3,16,10,8,12
7,5,1,4,4,3,3,4,4,3,4,4,3,3,4,4,3,3.166666667,3.666666667,3.5,3.5,19,11,7,14
3,2,1,4,4,4,2,4,4,4,3,4,3,4,4,4,4,3.166666667,3.666666667,3.5,4,19,11,7,16
4,3,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,3.666666667,3.666666667,4,4,22,11,8,16
7,5,3,3,1,2,1,3,4,3,4,4,4,1,3,4,4,2.166666667,3.666666667,4,3,13,11,8,12
6,5,2,3,4,1,1,4,1,2,1,1,1,1,4,3,1,2.5,1.333333333,1,2.25,15,4,2,9
3,2,4,3,3,3,2,4,1,1,1,1,2,1,4,4,1,3.166666667,1,1.5,2.5,19,3,3,10
7,5,4,4,3,3,2,4,3,4,3,3,4,4,3,4,2,3.333333333,3.333333333,3.5,3.25,20,10,7,13
4,3,3,3,3,2,1,3,1,1,1,1,1,3,4,4,3,2.5,1,1,3.5,15,3,2,14
